endTime,artistName,trackName,msPlayed
2023-08-27 23:15,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",64426
2023-08-30 16:54,Dua Lipa,Dance The Night - From Barbie The Album,176579
2023-08-30 16:55,KAROL G,QLONA,15210
2023-08-30 16:58,Quevedo,Columbia,186000
2023-08-30 16:58,Olivia Rodrigo,vampire,26550
2023-08-30 17:00,Gunna,fukumean,125040
2023-08-30 17:01,Mora,DONDE SE APRENDE A QUERER?,14470
2023-08-30 17:01,David Kushner,Daylight,6810
2023-08-30 17:01,Dave,Sprinter,12680
2023-08-30 17:01,Miley Cyrus,Used To Be Young,18460
2023-08-30 17:02,Mora,REINA,21240
2023-08-30 17:04,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],4406
2023-08-30 17:04,Harry Styles,As It Was,167303
2023-08-30 17:09,Miley Cyrus,Flowers,200600
2023-08-30 17:10,SZA,Kill Bill,39580
2023-09-01 21:19,Quevedo,Columbia,13972
2023-09-01 21:22,PEEKABOO,Badders,167172
2023-09-01 21:25,FISHER,Atmosphere,182857
2023-09-01 21:27,RSCL,Lost,153182
2023-09-01 21:30,SIDEPIECE,What You Need,173238
2023-09-01 21:32,Knock2,SAY,117857
2023-09-01 21:35,Matroda,Can’t Fight The Feeling,171428
2023-09-01 21:38,Biscits,Don't Stop,170196
2023-09-01 21:41,D.O.D,So Much In Love,178453
2023-09-01 21:43,RSCL,Echo,134400
2023-09-01 21:46,Chris Lake,In The Yuma (feat. Aatig),156215
2023-09-01 21:50,Supermode,Tell Me Why - 1991 Remix,244224
2023-09-01 21:52,Disco Lines,RWEOK?,147401
2023-09-01 21:55,James Hype,Lose Control,173437
2023-09-01 21:59,Disclosure,Higher Than Ever Before,196598
2023-09-01 22:01,INJI,UNTZ UNTZ,146736
2023-09-01 22:05,Chris Lake,Beggin',183397
2023-09-01 22:08,MK,Rhyme Dust,181364
2023-09-01 22:10,Tiësto,Drifting,147692
2023-09-01 22:13,James Hype,Number 1,145200
2023-09-01 22:16,Basstripper,In The City,156346
2023-09-01 22:19,GEN.KLOUD,VIRUS - Odd Mob Remix,184761
2023-09-01 22:20,Marshmello,Crusade,67017
2023-09-01 22:23,Noizu,Push To Start (feat. No/Me),181875
2023-09-01 22:30,FISHER,TAKE IT OFF,194604
2023-09-01 22:33,Walker & Royce,Stop Time,193075
2023-09-01 22:35,QUIX,Lighthouse - Eyezic Remix,137931
2023-09-01 22:38,Portugal. The Man,Dummy – Chris Lake Remix,173001
2023-09-01 22:41,GENESI,Everything You Have Done - Meduza Edit,156218
2023-09-01 22:44,Knock2,Are U Feelin Me,184875
2023-09-01 22:47,Supershy,Keep It Rising,194962
2023-09-01 22:50,Don Diablo,Still Cutting Shapes,148571
2023-09-01 22:52,Campbell,Would You (go to bed with me?),120522
2023-09-01 22:55,Mau P,Your Mind Is Dirty,198799
2023-09-01 22:59,Apashe,I'm Fine - IMANU Remix,243977
2023-09-02 02:52,John Summit,Where You Are,51163
2023-09-03 22:35,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),215466
2023-09-03 22:37,Marshmello,Fell In Love,121283
2023-09-03 22:38,Billie Eilish,hotline (edit),60719
2023-09-03 22:41,Central Cee,LET GO,174246
2023-09-03 22:44,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),199920
2023-09-03 22:47,A$AP Rocky,Sundress,158205
2023-09-03 22:49,Jorja Smith,Little Things x Gypsy Woman - L BEATS MASHUP,131000
2023-09-03 22:51,Brent Faiyaz,Clouded,110128
2023-09-03 22:53,Frank Ocean,Pink + White,142598
2023-09-05 13:37,B.o.B,Nothing on You,505
2023-09-05 13:38,JAY-Z,Empire State Of Mind,7476
2023-09-05 13:43,JAY-Z,Empire State Of Mind,270692
2023-09-05 13:44,B.o.B,Nothing on You,107666
2023-09-05 13:48,Empire Of The Sun,Walking On A Dream,198401
2023-09-05 13:52,M83,Midnight City,243927
2023-09-05 13:56,Bruno Mars,Locked out of Heaven,233454
2023-09-05 13:59,The Weeknd,Blinding Lights,200000
2023-09-05 14:03,Gorillaz,Feel Good Inc.,222602
2023-09-05 14:08,Drake,Passionfruit,298936
2023-09-05 14:11,JAY-Z,Heart Of The City (Ain't No Love),223211
2023-09-05 14:15,Calvin Harris,Feel So Close - Radio Edit,206380
2023-09-05 14:18,Kendrick Lamar,HUMBLE.,176954
2023-09-05 14:21,The Weeknd,Can't Feel My Face,213474
2023-09-05 14:26,Disclosure,Latch,255600
2023-09-05 14:29,Drake,"Hold On, We're Going Home",227847
2023-09-05 14:32,JAY-Z,Public Service Announcement (Interlude),172955
2023-09-05 14:38,Kid Cudi,Pursuit Of Happiness - Extended Steve Aoki Remix,373587
2023-09-05 14:42,Calvin Harris,Outside (feat. Ellie Goulding),227220
2023-09-05 14:46,The Weeknd,Pray For Me,211387
2023-09-05 14:49,M.I.A.,Paper Planes,205164
2023-09-05 14:53,Drake,God's Plan,198950
2023-09-05 14:56,French Montana,Unforgettable,233864
2023-09-05 15:00,Capital Cities,Safe And Sound,192764
2023-09-05 15:03,Vance Joy,Riptide,204247
2023-09-05 15:07,Kid Cudi,Day 'N' Nite (Nightmare),221215
